conjecture_id,found,elapsed_seconds,score,graph6,evaluated,classes,x,x_value,y,y_value,sign,rhs,order,size,density,minimum_degree,maximum_degree,average_degree
886,True,0.050988,4,I^|??KF@w,20,connected,maximum_degree,4,triangle_number,14,<=,10.0,10,19,0.4222222222222222,3,4,3.8
980,True,0.025020,0.625,A_,1,connected,average_degree,1.0,clique_number,2,<=,1.375,2,1,1.0,1,1,1.0
981,True,0.032865,0.333333333333,A_,1,connected,average_degree,1.0,clique_number,2,<=,1.6666666666666667,2,1,1.0,1,1,1.0
1177,True,0.035056,0.333333333333,A_,1,connected,clique_number,2,average_degree,1.0,>=,1.3333333333333333,2,1,1.0,1,1,1.0
1178,True,0.025588,0.2,A_,1,connected,clique_number,2,average_degree,1.0,>=,1.2,2,1,1.0,1,1,1.0
1191,True,0.549635,0.0947950937951,J~~~n|~~~~_,1157,connected,clique_number,9,minimum_degree,9,<=,8.905204906204908,11,53,0.9636363636363636,9,10,9.636363636363637
1466,True,0.691759,1.77242857143,MsaCC@?OA?G?O?O??,17,connected,domination_number,2,independent_domination_number,7,<=,5.2275714285714265,14,13,0.14285714285714285,1,7,1.8571428571428572
1566,True,0.051596,1,KAQJ@?AC???D,25,connected,total_domination_number,8,independence_number,6,>=,7.0,12,11,0.16666666666666666,1,3,1.8333333333333333
1587,True,0.033311,0.333333333333,Jh_GK?@?K??,12,connected,total_domination_number,7,matching_number,4,>=,4.333333333333333,11,10,0.18181818181818182,1,4,1.8181818181818181
1588,True,0.027087,1,Jh_GK?@?K??,12,connected,total_domination_number,7,matching_number,4,>=,5.0,11,10,0.18181818181818182,1,4,1.8181818181818181
1600,True,0.038358,0.333333333333,Jh_GK?@?K??,12,connected,total_domination_number,7,vertex_cover_number,4,>=,4.333333333333333,11,10,0.18181818181818182,1,4,1.8181818181818181
1601,True,0.027798,1,Jh_GK?@?K??,12,connected,total_domination_number,7,vertex_cover_number,4,>=,5.0,11,10,0.18181818181818182,1,4,1.8181818181818181
1708,True,0.025681,1,KAQJ@?AC???D,25,connected,independence_number,6,total_domination_number,8,<=,7.0,12,11,0.16666666666666666,1,3,1.8333333333333333
1880,True,0.667564,2,MsaCC@?OA?G?O?O??,17,connected,vertex_cover_number,2,independent_domination_number,7,<=,5.0,14,13,0.14285714285714285,1,7,1.8571428571428572
1891,True,0.028474,0.5,Jh_GK?@?K??,12,connected,vertex_cover_number,4,total_domination_number,7,<=,6.5,11,10,0.18181818181818182,1,4,1.8181818181818181
2041,True,0.646868,0.5,MsaCC@?OA?G?O?O??,17,connected,independent_domination_number,7,matching_number,2,>=,2.5,14,13,0.14285714285714285,1,7,1.8571428571428572
2051,True,0.051969,0.5,MsaCC@?OA?G?O?O??,17,connected,independent_domination_number,7,vertex_cover_number,2,>=,2.5,14,13,0.14285714285714285,1,7,1.8571428571428572
2117,True,0.025926,1.77242857143,MsaCC@?OA?G?O?O??,17,connected,matching_number,2,independent_domination_number,7,<=,5.2275714285714265,14,13,0.14285714285714285,1,7,1.8571428571428572
2120,True,0.028717,0.5,Jh_GK?@?K??,12,connected,matching_number,4,total_domination_number,7,<=,6.5,11,10,0.18181818181818182,1,4,1.8181818181818181
2121,True,0.037128,1,Jh_GK?@?K??,12,connected,matching_number,4,total_domination_number,7,<=,6.0,11,10,0.18181818181818182,1,4,1.8181818181818181
4247,True,0.031464,4,A_,1,"connected,tree",diameter,1,independent_domination_number,1,<=,-3.0,2,1,1.0,1,1,1.0
4668,True,0.030284,1.77242857143,MsaCC@?OA?G?O?O??,10,"connected,tree",vertex_cover_number,2,independent_domination_number,7,<=,5.2275714285714265,14,13,0.14285714285714285,1,7,1.8571428571428572
4712,True,0.027613,1,A_,1,"connected,tree",independent_domination_number,1,diameter,1,>=,2.0,2,1,1.0,1,1,1.0
5952,True,1.590098,1,[jCWGK@?W?_B?B??_?G?@??C??W??G??K??@???]??@w??@F???G???O???GD???,281,"claw_free,connected",diameter,8,independence_number,11,<=,10.0,28,45,0.11904761904761904,2,5,3.2142857142857144
5994,True,0.650134,0.486714285714,KJYJbOAC???D,25,"claw_free,connected",radius,4,domination_number,4,<=,3.513285714285722,12,17,0.25757575757575757,1,5,2.8333333333333335
5996,True,0.541115,1.601,MpE_GEc?G?}?K@??_,14,"claw_free,connected",radius,3,total_domination_number,7,<=,5.3990000000000045,14,21,0.23076923076923078,1,6,3.0
5998,True,0.471486,0.486714285714,KAQJ`?aC???D,25,"claw_free,connected",radius,4,independence_number,6,<=,5.513285714285715,12,13,0.19696969696969696,1,4,2.1666666666666665
6000,True,1.188454,0.201,MhoGMO@?KW@`?@qO?,13,"claw_free,connected",radius,3,independent_domination_number,5,<=,4.799000000000008,14,23,0.25274725274725274,1,7,3.2857142857142856
6179,True,3.078675,0.238095238095,MpF?GE_?G?w_?@??_,14,"claw_free,connected",maximum_degree,5,average_degree,2.4285714285714284,>=,2.666666666666667,14,17,0.18681318681318682,1,5,2.4285714285714284
6180,True,3.683435,0.040404040404,Jh_GM?@?KO?,12,"claw_free,connected",maximum_degree,4,average_degree,2.1818181818181817,>=,2.2222222222222223,11,12,0.21818181818181817,1,4,2.1818181818181817
6181,True,2.586989,0.040404040404,Jh_GKO@?M??,12,"claw_free,connected",maximum_degree,4,average_degree,2.1818181818181817,>=,2.222222222222222,11,12,0.21818181818181817,1,4,2.1818181818181817
6182,True,3.217564,0.0696026936027,MAUJ@@A????DCCV??,235,"claw_free,connected",maximum_degree,5,average_degree,2.5714285714285716,>=,2.6410312650312653,14,18,0.1978021978021978,1,5,2.5714285714285716
6267,True,3.290311,0.428571428571,MhyGKW@?M??@?@oA?,13,"claw_free,connected",average_degree,3.0,maximum_degree,6,<=,5.571428571428571,14,21,0.23076923076923078,1,6,3.0
6268,True,4.022558,0.25,MA]jX@AC???@?HU??,215,"claw_free,connected",average_degree,3.0,maximum_degree,6,<=,5.75,14,21,0.23076923076923078,1,6,3.0
6269,True,3.211515,0.042471042471,MxF_GF??G?wC?@??_,14,"claw_free,connected",average_degree,2.7142857142857144,maximum_degree,5,<=,4.957528957528957,14,19,0.2087912087912088,1,5,2.7142857142857144
6272,True,0.733730,0.6,A_,1,"claw_free,connected",average_degree,1.0,clique_number,2,<=,1.4,2,1,1.0,1,1,1.0
6278,True,1.231436,0.140376013727,S`wQMRHq]RxNq~}^|NyK?O_fh~_k?s?_?,592,"claw_free,connected",average_degree,9.0,clique_number,12,<=,11.859623986272924,20,90,0.47368421052631576,2,14,9.0
6352,True,0.746814,0.333333333333,A_,1,"claw_free,connected",clique_number,2,average_degree,1.0,>=,1.3333333333333335,2,1,1.0,1,1,1.0
6574,True,0.565369,1,VzCGGK@?G@_B?@??_?W?@??K??G??G??C??B???]???_,86,"claw_free,connected",total_domination_number,8,independence_number,10,<=,9.0,23,33,0.13043478260869565,2,4,2.869565217391304
6582,True,0.520837,1,H{D?H?@,28,"claw_free,connected",total_domination_number,6,matching_number,4,>=,5.0,9,9,0.25,1,3,2.0
6903,True,0.503189,1,H{D?H?@,28,"claw_free,connected",matching_number,4,total_domination_number,6,<=,5.0,9,9,0.25,1,3,2.0
688,True,0.205437,0.288932205944,a~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~{?O???????G????C????@?????G,155,connected,density,0.732620320855615,proximity,0.180327868852459,>=,0.46926007479640697,34,411,0.732620320855615,1,29,24.176470588235293
