conjecture_id,found,elapsed_seconds,score,graph6,evaluated,classes,x,x_value,y,y_value,sign,rhs,order,size,density,minimum_degree,maximum_degree,average_degree
886,True,0.115130,4,I^|??KF@w,20,connected,maximum_degree,4,triangle_number,14,<=,10.0,10,19,0.4222222222222222,3,4,3.8
980,True,0.036181,0.625,A_,1,connected,average_degree,1.0,clique_number,2,<=,1.375,2,1,1.0,1,1,1.0
981,True,0.026360,0.333333333333,A_,1,connected,average_degree,1.0,clique_number,2,<=,1.6666666666666667,2,1,1.0,1,1,1.0
1177,True,0.027411,0.333333333333,A_,1,connected,clique_number,2,average_degree,1.0,>=,1.3333333333333333,2,1,1.0,1,1,1.0
1178,True,0.027197,0.2,A_,1,connected,clique_number,2,average_degree,1.0,>=,1.2,2,1,1.0,1,1,1.0
1191,True,0.278348,0.549340548341,K~~~~~|~~v~~,641,connected,clique_number,10,minimum_degree,10,<=,9.450659451659458,12,64,0.9696969696969697,10,11,10.666666666666666
1466,True,0.071057,1.77242857143,MsaCC@?OA?G?O?O??,17,connected,domination_number,2,independent_domination_number,7,<=,5.2275714285714265,14,13,0.14285714285714285,1,7,1.8571428571428572
1566,True,0.029497,1,KAQJ@?AC???D,25,connected,total_domination_number,8,independence_number,6,>=,7.0,12,11,0.16666666666666666,1,3,1.8333333333333333
1587,True,0.027809,0.333333333333,Jh_GK?@?K??,12,connected,total_domination_number,7,matching_number,4,>=,4.333333333333333,11,10,0.18181818181818182,1,4,1.8181818181818181
1588,True,0.030217,1,Jh_GK?@?K??,12,connected,total_domination_number,7,matching_number,4,>=,5.0,11,10,0.18181818181818182,1,4,1.8181818181818181
1600,True,0.030496,0.333333333333,Jh_GK?@?K??,12,connected,total_domination_number,7,vertex_cover_number,4,>=,4.333333333333333,11,10,0.18181818181818182,1,4,1.8181818181818181
1601,True,0.037179,1,Jh_GK?@?K??,12,connected,total_domination_number,7,vertex_cover_number,4,>=,5.0,11,10,0.18181818181818182,1,4,1.8181818181818181
1708,True,0.034918,1,KAQJ@?AC???D,25,connected,independence_number,6,total_domination_number,8,<=,7.0,12,11,0.16666666666666666,1,3,1.8333333333333333
1880,True,0.032447,2,MsaCC@?OA?G?O?O??,17,connected,vertex_cover_number,2,independent_domination_number,7,<=,5.0,14,13,0.14285714285714285,1,7,1.8571428571428572
1891,True,0.032205,0.5,Jh_GK?@?K??,12,connected,vertex_cover_number,4,total_domination_number,7,<=,6.5,11,10,0.18181818181818182,1,4,1.8181818181818181
2041,True,0.029757,0.5,MsaCC@?OA?G?O?O??,17,connected,independent_domination_number,7,matching_number,2,>=,2.5,14,13,0.14285714285714285,1,7,1.8571428571428572
2051,True,0.087017,0.5,MsaCC@?OA?G?O?O??,17,connected,independent_domination_number,7,vertex_cover_number,2,>=,2.5,14,13,0.14285714285714285,1,7,1.8571428571428572
2117,True,0.042499,1.77242857143,MsaCC@?OA?G?O?O??,17,connected,matching_number,2,independent_domination_number,7,<=,5.2275714285714265,14,13,0.14285714285714285,1,7,1.8571428571428572
2120,True,0.029239,0.5,Jh_GK?@?K??,12,connected,matching_number,4,total_domination_number,7,<=,6.5,11,10,0.18181818181818182,1,4,1.8181818181818181
2121,True,0.029184,1,Jh_GK?@?K??,12,connected,matching_number,4,total_domination_number,7,<=,6.0,11,10,0.18181818181818182,1,4,1.8181818181818181
4247,True,0.029139,4,A_,1,"connected,tree",diameter,1,independent_domination_number,1,<=,-3.0,2,1,1.0,1,1,1.0
4668,True,0.032413,1.77242857143,MsaCC@?OA?G?O?O??,10,"connected,tree",vertex_cover_number,2,independent_domination_number,7,<=,5.2275714285714265,14,13,0.14285714285714285,1,7,1.8571428571428572
4712,True,0.029579,1,A_,1,"connected,tree",independent_domination_number,1,diameter,1,>=,2.0,2,1,1.0,1,1,1.0
5952,True,1.977125,1,XzKGWCB?G@_B?B?@_?w?B??C??G??W?????@???G???w??B???o,273,"claw_free,connected",diameter,8,independence_number,11,<=,10.0,25,40,0.13333333333333333,2,5,3.2
5994,True,0.647641,0.486714285714,KJYJbOAC???D,25,"claw_free,connected",radius,4,domination_number,4,<=,3.513285714285722,12,17,0.25757575757575757,1,5,2.8333333333333335
5996,True,0.554599,1.601,MpE_GEc?G?}?K@??_,14,"claw_free,connected",radius,3,total_domination_number,7,<=,5.3990000000000045,14,21,0.23076923076923078,1,6,3.0
5998,True,0.451853,0.486714285714,KAQJ`?aC???D,25,"claw_free,connected",radius,4,independence_number,6,<=,5.513285714285715,12,13,0.19696969696969696,1,4,2.1666666666666665
6000,True,0.588078,0.201,MhoGMO@?KW@`?@qO?,13,"claw_free,connected",radius,3,independent_domination_number,5,<=,4.799000000000008,14,23,0.25274725274725274,1,7,3.2857142857142856
6179,True,3.082323,0.238095238095,MpF?GE_?G?w_?@??_,14,"claw_free,connected",maximum_degree,5,average_degree,2.4285714285714284,>=,2.666666666666667,14,17,0.18681318681318682,1,5,2.4285714285714284
6180,True,3.652112,0.040404040404,Jh_GM?@?KO?,12,"claw_free,connected",maximum_degree,4,average_degree,2.1818181818181817,>=,2.2222222222222223,11,12,0.21818181818181817,1,4,2.1818181818181817
6181,True,2.536834,0.040404040404,Jh_GKO@?M??,12,"claw_free,connected",maximum_degree,4,average_degree,2.1818181818181817,>=,2.222222222222222,11,12,0.21818181818181817,1,4,2.1818181818181817
6182,True,2.974127,0.0696026936027,MAUJ@@A????DCCV??,235,"claw_free,connected",maximum_degree,5,average_degree,2.5714285714285716,>=,2.6410312650312653,14,18,0.1978021978021978,1,5,2.5714285714285716
6267,True,3.488902,0.428571428571,MhyGKW@?M??@?@oA?,13,"claw_free,connected",average_degree,3.0,maximum_degree,6,<=,5.571428571428571,14,21,0.23076923076923078,1,6,3.0
6268,True,4.139389,0.1,Nh_GKO@?M??@?@yOW@_,195,"claw_free,connected",average_degree,3.066666666666667,maximum_degree,6,<=,5.9,15,23,0.21904761904761905,1,6,3.066666666666667
6269,True,3.150868,0.042471042471,MxF_GF??G?wC?@??_,14,"claw_free,connected",average_degree,2.7142857142857144,maximum_degree,5,<=,4.957528957528957,14,19,0.2087912087912088,1,5,2.7142857142857144
6272,True,0.441220,0.6,A_,1,"claw_free,connected",average_degree,1.0,clique_number,2,<=,1.4,2,1,1.0,1,1,1.0
6278,True,1.704469,0.264998358265,S`wQMRHq]RxNq~}^|NyK?P_FH~_k?o@_?,692,"claw_free,connected",average_degree,8.9,clique_number,12,<=,11.735001641735396,20,89,0.46842105263157896,2,14,8.9
6352,True,0.737777,0.333333333333,A_,1,"claw_free,connected",clique_number,2,average_degree,1.0,>=,1.3333333333333335,2,1,1.0,1,1,1.0
6574,True,0.535479,1,VzCGGK@?G@_B?@??_?W?@??K??G??G??C??B???]???_,86,"claw_free,connected",total_domination_number,8,independence_number,10,<=,9.0,23,33,0.13043478260869565,2,4,2.869565217391304
6582,True,0.546460,1,H{D?H?@,28,"claw_free,connected",total_domination_number,6,matching_number,4,>=,5.0,9,9,0.25,1,3,2.0
6903,True,0.548767,1,H{D?H?@,28,"claw_free,connected",matching_number,4,total_domination_number,6,<=,5.0,9,9,0.25,1,3,2.0
688,True,0.144875,0.288932205944,a~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~{?O???????G????C????@?????G,155,connected,density,0.732620320855615,proximity,0.180327868852459,>=,0.46926007479640697,34,411,0.732620320855615,1,29,24.176470588235293
713,True,0.438414,0.0035254368769,O~voG?@?G?_B?F?F_@wE?,594,connected,density,0.26666666666666666,remoteness,0.32608695652173914,>=,0.32961239339863957,16,32,0.26666666666666666,2,5,4.0
737,True,0.055581,0.00566988414939,K^~y??B?wF_^,21,connected,density,0.4393939393939394,second_smallest_laplace_eigenvalue,0.2412295168563658,>=,0.2468994010057579,12,29,0.4393939393939394,4,5,4.833333333333333
1021,True,0.076320,0.282608695652,m??_E??g??W?cAb?A@?R_R?GAEG?c@CU?O?X????AOk@?OF?`[??OO??@??GC@G???cCC?I_HQ?OG?@?ao?OC?@??c??__?OgO?C?ICC_@__e_??O?A?O?EG?G??CAB??G_??O?A?C?P?CQAS???A??B?FC@AG?OODO???@OB??I_?,108,connected,average_degree,6.434782608695652,triangle_number,32,>=,32.282608695652186,46,148,0.14299516908212562,1,11,6.434782608695652
1337,True,0.715935,0.0040404040404,Ua_a`g?`j?B_SSPj?[RTNBFEGpIOe?tCKwOSZY?_,806,connected,triangle_number,49,average_degree,7.181818181818182,<=,7.177777777777778,22,79,0.341991341991342,4,11,7.181818181818182
1591,True,0.044380,0.0428571428571,RhCGGCA?_C?O?_?_?O?C??_?A??C??,108,connected,total_domination_number,4,proximity,0.17142857142857143,>=,0.21428571428571425,19,18,0.10526315789473684,1,13,1.894736842105263
1729,True,0.028937,0.0114285714286,H{CGGC@,32,connected,independence_number,4,proximity,0.22857142857142856,>=,0.24000000000000002,9,9,0.25,1,3,2.0
1793,True,0.068763,0.0132651337375,H{CGGC@,32,connected,independence_number,4,second_smallest_laplace_eigenvalue,0.1288750986430579,>=,0.14214023238056123,9,9,0.25,1,3,2.0
1892,True,0.030034,1,Jh_GK?@?K??,12,connected,vertex_cover_number,4,total_domination_number,7,<=,6.0,11,10,0.18181818181818182,1,4,1.8181818181818181
