conjecture_id,found,elapsed_seconds,score,graph6,evaluated,classes,x,x_value,y,y_value,sign,rhs,order,size,density,minimum_degree,maximum_degree,average_degree
886,True,0.110562,4,I^|??KF@w,20,connected,maximum_degree,4,triangle_number,14,<=,10.0,10,19,0.4222222222222222,3,4,3.8
980,True,0.034963,0.625,A_,1,connected,average_degree,1.0,clique_number,2,<=,1.375,2,1,1.0,1,1,1.0
981,True,0.083169,0.333333333333,A_,1,connected,average_degree,1.0,clique_number,2,<=,1.6666666666666667,2,1,1.0,1,1,1.0
1177,True,0.050076,0.333333333333,A_,1,connected,clique_number,2,average_degree,1.0,>=,1.3333333333333333,2,1,1.0,1,1,1.0
1178,True,0.058827,0.2,A_,1,connected,clique_number,2,average_degree,1.0,>=,1.2,2,1,1.0,1,1,1.0
1191,True,0.391234,0.549340548341,K~~~~~|~~v~~,641,connected,clique_number,10,minimum_degree,10,<=,9.450659451659458,12,64,0.9696969696969697,10,11,10.666666666666666
1466,True,0.029496,1.77242857143,MsaCC@?OA?G?O?O??,17,connected,domination_number,2,independent_domination_number,7,<=,5.2275714285714265,14,13,0.14285714285714285,1,7,1.8571428571428572
1566,True,0.043898,1,KAQJ@?AC???D,25,connected,total_domination_number,8,independence_number,6,>=,7.0,12,11,0.16666666666666666,1,3,1.8333333333333333
1587,True,0.034862,0.333333333333,Jh_GK?@?K??,12,connected,total_domination_number,7,matching_number,4,>=,4.333333333333333,11,10,0.18181818181818182,1,4,1.8181818181818181
1588,True,0.033812,1,Jh_GK?@?K??,12,connected,total_domination_number,7,matching_number,4,>=,5.0,11,10,0.18181818181818182,1,4,1.8181818181818181
1600,True,0.027201,0.333333333333,Jh_GK?@?K??,12,connected,total_domination_number,7,vertex_cover_number,4,>=,4.333333333333333,11,10,0.18181818181818182,1,4,1.8181818181818181
1601,True,0.081280,1,Jh_GK?@?K??,12,connected,total_domination_number,7,vertex_cover_number,4,>=,5.0,11,10,0.18181818181818182,1,4,1.8181818181818181
1708,True,0.025020,1,KAQJ@?AC???D,25,connected,independence_number,6,total_domination_number,8,<=,7.0,12,11,0.16666666666666666,1,3,1.8333333333333333
1880,True,0.024431,2,MsaCC@?OA?G?O?O??,17,connected,vertex_cover_number,2,independent_domination_number,7,<=,5.0,14,13,0.14285714285714285,1,7,1.8571428571428572
1891,True,0.027864,0.5,Jh_GK?@?K??,12,connected,vertex_cover_number,4,total_domination_number,7,<=,6.5,11,10,0.18181818181818182,1,4,1.8181818181818181
2041,True,0.025407,0.5,MsaCC@?OA?G?O?O??,17,connected,independent_domination_number,7,matching_number,2,>=,2.5,14,13,0.14285714285714285,1,7,1.8571428571428572
2051,True,0.025522,0.5,MsaCC@?OA?G?O?O??,17,connected,independent_domination_number,7,vertex_cover_number,2,>=,2.5,14,13,0.14285714285714285,1,7,1.8571428571428572
2117,True,0.024834,1.77242857143,MsaCC@?OA?G?O?O??,17,connected,matching_number,2,independent_domination_number,7,<=,5.2275714285714265,14,13,0.14285714285714285,1,7,1.8571428571428572
2120,True,0.039856,0.5,Jh_GK?@?K??,12,connected,matching_number,4,total_domination_number,7,<=,6.5,11,10,0.18181818181818182,1,4,1.8181818181818181
2121,True,0.046214,1,Jh_GK?@?K??,12,connected,matching_number,4,total_domination_number,7,<=,6.0,11,10,0.18181818181818182,1,4,1.8181818181818181
4247,True,0.052155,4,A_,1,"connected,tree",diameter,1,independent_domination_number,1,<=,-3.0,2,1,1.0,1,1,1.0
4668,True,0.108818,1.77242857143,MsaCC@?OA?G?O?O??,10,"connected,tree",vertex_cover_number,2,independent_domination_number,7,<=,5.2275714285714265,14,13,0.14285714285714285,1,7,1.8571428571428572
4712,True,0.027761,1,A_,1,"connected,tree",independent_domination_number,1,diameter,1,>=,2.0,2,1,1.0,1,1,1.0
5952,True,1.085183,1,ShKwGK@?G?_B?@?@_?K?B_?E??[??w??K,182,"claw_free,connected",diameter,6,independence_number,9,<=,8.0,20,34,0.17894736842105263,2,6,3.4
5994,True,0.673683,0.486714285714,KJYJbOAC???D,25,"claw_free,connected",radius,4,domination_number,4,<=,3.513285714285722,12,17,0.25757575757575757,1,5,2.8333333333333335
5996,True,0.569189,1.601,MpE_GEc?G?}?K@??_,14,"claw_free,connected",radius,3,total_domination_number,7,<=,5.3990000000000045,14,21,0.23076923076923078,1,6,3.0
5998,True,0.478861,0.486714285714,KAQJ`?aC???D,25,"claw_free,connected",radius,4,independence_number,6,<=,5.513285714285715,12,13,0.19696969696969696,1,4,2.1666666666666665
6000,True,0.641013,0.201,MhoGMO@?KW@`?@qO?,13,"claw_free,connected",radius,3,independent_domination_number,5,<=,4.799000000000008,14,23,0.25274725274725274,1,7,3.2857142857142856
6179,False,7.119319,-inf,A_,0,"claw_free,connected",maximum_degree,,average_degree,,>=,,,,,,,
6180,False,7.505574,-inf,A_,0,"claw_free,connected",maximum_degree,,average_degree,,>=,,,,,,,
6181,True,4.527859,0.040404040404,Jh_GKO@?M??,12,"claw_free,connected",maximum_degree,4,average_degree,2.1818181818181817,>=,2.222222222222222,11,12,0.21818181818181817,1,4,2.1818181818181817
6182,True,4.466998,0.0256466496466,LAEJ@@AS???DUC,247,"claw_free,connected",maximum_degree,5,average_degree,2.6153846153846154,>=,2.6410312650312653,13,17,0.21794871794871795,1,5,2.6153846153846154
6267,True,4.192688,0.428571428571,MhyGKW@?M??@?@oA?,13,"claw_free,connected",average_degree,3.0,maximum_degree,6,<=,5.571428571428571,14,21,0.23076923076923078,1,6,3.0
6268,False,5.014030,0,Bg,210,"claw_free,connected",average_degree,1.3333333333333333,maximum_degree,2,<=,2.0,3,2,0.6666666666666666,1,2,1.3333333333333333
6269,True,4.584910,0.042471042471,MxF_GF??G?wC?@??_,14,"claw_free,connected",average_degree,2.7142857142857144,maximum_degree,5,<=,4.957528957528957,14,19,0.2087912087912088,1,5,2.7142857142857144
6272,True,0.713237,0.6,A_,1,"claw_free,connected",average_degree,1.0,clique_number,2,<=,1.4,2,1,1.0,1,1,1.0
6278,True,3.231130,0.0249214643952,U`gAMQHq]RxNq~i^tNyK?P_FH~_k?og?CS?Bi^x?,630,"claw_free,connected",average_degree,9.090909090909092,clique_number,12,<=,11.97507853560478,22,100,0.4329004329004329,4,13,9.090909090909092
6352,True,1.037679,0.333333333333,A_,1,"claw_free,connected",clique_number,2,average_degree,1.0,>=,1.3333333333333335,2,1,1.0,1,1,1.0
6574,True,0.692104,1,VzCGGK@?G@_B?@??_?W?@??K??G??G??C??B???]???_,86,"claw_free,connected",total_domination_number,8,independence_number,10,<=,9.0,23,33,0.13043478260869565,2,4,2.869565217391304
6582,True,0.611231,1,H{D?H?@,28,"claw_free,connected",total_domination_number,6,matching_number,4,>=,5.0,9,9,0.25,1,3,2.0
6903,True,0.578502,1,H{D?H?@,28,"claw_free,connected",matching_number,4,total_domination_number,6,<=,5.0,9,9,0.25,1,3,2.0
688,True,0.354188,0.288932205944,a~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~{?O???????G????C????@?????G,155,connected,density,0.732620320855615,proximity,0.180327868852459,>=,0.46926007479640697,34,411,0.732620320855615,1,29,24.176470588235293
713,True,1.128507,0.00220759472198,O~}?G?@?G?_B?B?F_@wE?,1181,connected,density,0.24166666666666667,remoteness,0.3,>=,0.30220759472198444,16,29,0.24166666666666667,2,5,3.625
737,True,0.097337,0.00566988414939,K^~y??B?wF_^,21,connected,density,0.4393939393939394,second_smallest_laplace_eigenvalue,0.2412295168563658,>=,0.2468994010057579,12,29,0.4393939393939394,4,5,4.833333333333333
1021,True,0.088988,0.282608695652,m??_E??g??W?cAb?A@?R_R?GAEG?c@CU?O?X????AOk@?OF?`[??OO??@??GC@G???cCC?I_HQ?OG?@?ao?OC?@??c??__?OgO?C?ICC_@__e_??O?A?O?EG?G??CAB??G_??O?A?C?P?CQAS???A??B?FC@AG?OODO???@OB??I_?,108,connected,average_degree,6.434782608695652,triangle_number,32,>=,32.282608695652186,46,148,0.14299516908212562,1,11,6.434782608695652
1337,True,0.773624,0.05,Wa`@@c?_j@FwSSOj?kRPNBfEgpIOE?pCKW?CWy?dxaC@QEI,814,connected,triangle_number,57,average_degree,7.583333333333333,<=,7.533333333333333,24,91,0.32971014492753625,3,10,7.583333333333333
1591,True,0.056072,0.0428571428571,RhCGGCA?_C?O?_?_?O?C??_?A??C??,108,connected,total_domination_number,4,proximity,0.17142857142857143,>=,0.21428571428571425,19,18,0.10526315789473684,1,13,1.894736842105263
1729,True,0.032870,0.0114285714286,H{CGGC@,32,connected,independence_number,4,proximity,0.22857142857142856,>=,0.24000000000000002,9,9,0.25,1,3,2.0
1793,True,0.032496,0.0132651337375,H{CGGC@,32,connected,independence_number,4,second_smallest_laplace_eigenvalue,0.1288750986430579,>=,0.14214023238056123,9,9,0.25,1,3,2.0
1892,True,0.043945,1,Jh_GK?@?K??,12,connected,vertex_cover_number,4,total_domination_number,7,<=,6.0,11,10,0.18181818181818182,1,4,1.8181818181818181
